"","year","Murder","Brazil","Colombia","France","Iraq","Syria","Government","Military","Political","Male","Local","Freelance","War"
"1",2018,1,0,0,0,0,0,0,0,1,1,1,0,1
"2",1998,0,0,0,0,0,0,1,0,0,1,1,0,0
"3",2012,0,0,0,0,0,1,0,1,0,1,1,1,1
"5",2013,0,0,0,0,0,1,0,1,0,1,1,0,1
"6",2012,1,0,0,0,0,1,0,1,0,1,1,0,1
"7",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"9",2004,0,0,0,0,1,0,0,0,1,1,1,1,0
"13",2016,0,0,0,0,0,0,0,0,1,1,1,0,1
"15",2016,1,0,0,0,0,0,0,0,1,1,1,0,1
"17",2019,0,0,0,0,0,0,0,0,1,1,1,0,1
"18",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"21",2011,1,0,0,0,0,0,1,1,0,1,1,1,0
"22",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"23",2020,1,0,0,0,0,0,0,0,1,1,1,1,1
"24",2008,0,0,0,0,0,0,0,1,0,1,1,0,1
"25",2017,0,0,0,0,0,0,1,0,0,1,1,0,0
"26",2019,0,0,0,0,0,1,0,1,0,1,1,0,1
"27",2012,1,0,0,0,0,0,0,0,1,1,1,0,1
"28",2018,1,0,0,0,0,0,0,0,1,1,1,0,1
"29",2020,0,0,0,0,0,1,0,1,0,1,1,0,1
"30",2012,1,0,0,0,0,0,0,0,1,1,1,1,1
"31",2006,0,0,0,0,0,0,0,0,1,1,1,0,1
"32",2013,0,0,0,0,0,1,1,0,0,1,1,0,1
"33",2018,0,0,0,0,0,1,0,1,0,1,1,0,1
"34",2008,1,0,0,0,0,0,0,0,0,1,1,0,0
"35",2016,0,0,0,0,0,1,0,1,0,1,1,0,1
"36",2008,1,0,0,0,0,0,0,0,0,1,1,0,0
"37",1994,0,0,0,0,0,0,0,0,0,1,1,1,0
"38",2010,0,0,0,0,0,0,0,0,1,1,1,0,1
"39",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"40",1999,1,0,0,0,0,0,0,1,0,1,1,0,1
"41",2014,1,0,0,0,0,0,0,0,1,1,1,1,0
"42",2007,0,0,0,0,0,0,0,0,1,1,1,1,0
"43",2009,0,0,0,0,0,0,0,0,1,1,1,1,1
"44",2018,0,0,0,0,0,0,0,0,1,1,1,0,1
"45",2018,1,0,0,0,0,0,0,0,1,1,1,0,0
"46",2016,0,0,0,0,0,1,0,1,0,1,1,0,1
"47",2015,0,0,0,0,0,0,0,1,0,1,1,0,1
"48",2003,0,0,0,0,0,0,0,0,0,1,1,0,0
"49",2017,1,0,0,0,0,0,0,0,1,1,1,0,0
"51",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"52",2007,0,0,0,0,0,0,0,0,1,1,1,0,0
"53",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"54",2018,0,0,0,0,0,0,0,0,1,1,1,0,0
"55",2015,1,0,0,0,0,0,0,0,1,1,1,0,1
"56",2015,0,0,0,0,0,0,0,0,0,1,1,0,0
"57",2020,0,0,0,0,0,0,0,0,1,1,1,0,1
"58",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"59",2015,1,0,0,0,1,0,0,0,1,1,1,0,1
"60",2001,0,0,0,0,0,0,0,0,1,1,1,0,0
"61",1995,0,0,0,0,0,0,0,1,0,1,1,0,1
"62",2004,0,0,0,0,0,0,0,0,1,1,1,0,1
"63",2005,1,0,0,0,1,0,0,0,1,1,1,1,1
"64",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"65",2006,1,0,0,0,1,0,0,0,1,1,1,1,1
"66",1992,1,0,0,0,0,0,0,0,0,1,1,0,0
"67",1994,1,0,0,0,0,0,1,0,0,1,1,0,0
"68",2012,0,0,0,0,0,0,0,0,0,1,1,1,0
"69",1999,0,0,0,0,0,0,0,0,0,1,1,0,1
"70",2016,0,0,0,0,0,1,0,1,0,1,1,0,1
"71",2003,0,0,0,0,1,0,0,1,0,1,1,0,1
"73",2011,0,0,0,0,0,0,0,1,0,1,1,0,1
"74",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"77",2020,0,0,0,0,1,0,0,0,0,1,1,0,1
"78",2015,0,0,0,0,0,1,0,1,0,1,1,0,1
"79",2018,0,0,0,0,0,0,0,1,0,1,1,0,1
"81",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"82",2012,0,0,0,0,0,1,0,1,0,1,1,0,1
"83",2012,0,0,0,0,0,1,0,1,0,1,1,1,1
"84",2005,1,0,0,0,1,0,0,0,0,1,1,0,1
"85",2016,0,0,0,0,0,0,0,0,1,1,1,1,1
"86",2013,0,0,0,0,0,0,0,1,0,1,1,0,0
"87",2018,0,0,0,0,0,1,0,1,0,1,1,0,1
"89",2007,1,0,0,0,1,0,0,0,1,1,1,1,1
"90",1993,0,0,0,0,0,0,0,1,0,1,1,0,1
"92",2007,0,0,0,0,0,0,0,0,1,1,1,0,0
"93",2005,1,0,0,0,1,0,0,0,1,1,1,0,0
"94",2019,1,0,0,0,0,0,1,0,0,1,1,0,0
"95",2012,0,0,0,0,0,0,0,0,0,1,1,1,0
"97",2005,1,0,0,0,1,0,0,0,1,1,1,0,1
"99",2015,1,0,0,0,0,1,0,0,1,1,1,0,1
"100",2019,0,0,0,0,1,0,0,0,0,1,1,1,1
"101",2013,1,0,0,0,0,0,0,0,1,1,1,1,0
"102",2014,1,0,0,0,0,0,0,0,1,1,1,0,0
"103",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"104",2008,1,0,0,0,1,0,0,0,1,1,1,0,0
"105",2003,1,0,0,0,1,0,0,0,1,1,1,0,1
"106",2005,0,0,0,0,1,0,0,1,0,1,1,0,1
